total_processing_days,premium,application_type,service_center
291.0,False,new application,Vermont
71.0,False,new application,California
96.0,False,new application,Vermont
105.0,False,new application,California
99.0,False,new application,Vermont
88.0,False,new application,Vermont
75.0,False,new application,California
87.0,False,new application,Dallas
132.0,False,new application,California
93.0,False,new application,Vermont
90.0,False,new application,Vermont
62.0,False,new application,Phoenix
105.0,False,new application,California
75.0,False,new application,California
120.0,True,renewal,California
132.0,False,new application,Phoenix
74.0,False,renewal,Phoenix
66.0,False,new application,Phoenix
204.0,False,new application,California
76.0,False,renewal,California
80.0,False,new application,California
76.0,False,new application,California
58.0,False,renewal,California
143.0,False,new application,California
82.0,False,new application,Vermont
72.0,False,new application,Vermont
54.0,False,new application,California
102.0,False,new application,California
142.0,False,new application,California
127.0,False,new application,California
54.0,False,renewal,California
95.0,True,new application,Vermont
82.0,False,new application,California
78.0,False,new application,Vermont
75.0,False,new application,Phoenix
78.0,False,new application,California
74.0,False,renewal,California
82.0,False,new application,California
83.0,False,new application,Phoenix
13.0,True,renewal,Vermont
78.0,False,new application,California
72.0,False,new application,Dallas
11.0,True,new application,California
83.0,False,new application,Vermont
57.0,False,new application,California
20.0,False,new application,Vermont
59.0,False,new application,Vermont
80.0,False,new application,California
54.0,True,new application,Vermont
355.0,False,new application,Vermont
87.0,False,renewal,California
58.0,False,renewal,California
86.0,False,new application,California
107.0,False,new application,California
89.0,False,renewal,Phoenix
78.0,False,new application,California
35.0,True,new application,Vermont
90.0,False,new application,California
90.0,False,new application,California
73.0,False,renewal,Vermont
95.0,False,new application,Vermont
89.0,False,new application,California
88.0,False,new application,California
73.0,False,new application,Vermont
74.0,False,new application,Vermont
78.0,False,new application,California
81.0,False,new application,California
58.0,False,new application,Vermont
133.0,False,renewal,Vermont
13.0,False,renewal,Vermont
83.0,False,new application,Phoenix
75.0,False,new application,Vermont
84.0,False,new application,California
88.0,False,new application,California
83.0,False,new application,California
74.0,False,renewal,Vermont
10.0,True,renewal,California
63.0,False,new application,Vermont
126.0,False,renewal,California
12.0,True,renewal,Vermont
81.0,False,new application,California
54.0,False,new application,Vermont
83.0,False,new application,Vermont
79.0,False,renewal,California
87.0,False,new application,Phoenix
107.0,False,new application,Vermont
97.0,False,new application,Vermont
78.0,False,renewal,Phoenix
63.0,False,new application,Vermont
64.0,False,new application,Texas
70.0,False,renewal,Vermont
147.0,False,new application,Vermont
11.0,True,new application,Vermont
82.0,False,new application,California
112.0,False,new application,Vermont
84.0,False,new application,California
201.0,False,new application,Vermont
50.0,True,new application,California
7.0,False,renewal,Vermont
116.0,False,new application,California
76.0,False,new application,California
63.0,False,new application,Dallas
82.0,False,new application,California
83.0,False,new application,Phoenix
8.0,False,new application,California
59.0,False,renewal,Vermont
78.0,False,new application,California
216.0,False,new application,Vermont
50.0,False,new application,Vermont
64.0,False,renewal,Vermont
97.0,False,renewal,Vermont
85.0,False,renewal,California
137.0,False,renewal,California
78.0,False,new application,California
81.0,False,new application,Phoenix
165.0,False,new application,California
74.0,False,new application,California
79.0,False,new application,Vermont
85.0,False,renewal,California
82.0,False,new application,California
77.0,False,new application,California
108.0,False,new application,California
85.0,False,new application,California
84.0,False,renewal,California
111.0,False,new application,California
82.0,False,new application,California
11.0,False,new application,California
109.0,False,new application,California
85.0,False,new application,Vermont
98.0,False,new application,California
113.0,False,new application,California
94.0,False,new application,California
81.0,False,new application,California
107.0,False,new application,California
70.0,False,new application,California
53.0,False,new application,Vermont
77.0,False,renewal,California
101.0,False,new application,Vermont
175.0,True,renewal,Vermont
135.0,False,new application,Vermont
56.0,False,renewal,Vermont
111.0,False,new application,California
83.0,False,new application,California
85.0,False,renewal,Vermont
10.0,False,new application,Texas
82.0,False,new application,California
108.0,False,new application,Vermont
8.0,True,renewal,Vermont
84.0,False,new application,Phoenix
46.0,False,new application,Vermont
80.0,False,new application,California
122.0,False,renewal,Vermont
81.0,False,new application,Vermont
104.0,False,new application,Dallas
51.0,False,new application,Vermont
81.0,False,new application,Vermont
351.0,False,new application,Phoenix
159.0,False,new application,Vermont
57.0,False,new application,California
48.0,False,new application,Vermont
94.0,False,new application,California
38.0,False,renewal,Texas
129.0,True,new application,Vermont
122.0,False,new application,California
101.0,False,new application,Vermont
85.0,False,new application,Phoenix
122.0,False,new application,California
63.0,False,new application,Vermont
68.0,False,new application,California
101.0,False,renewal,Vermont
55.0,True,renewal,Vermont
77.0,False,new application,California
99.0,False,new application,Vermont
94.0,False,new application,California
8.0,True,new application,California
102.0,False,new application,California
133.0,False,new application,California
118.0,False,new application,California
121.0,False,new application,California
246.0,False,new application,Vermont
72.0,False,renewal,California
58.0,False,new application,Vermont
73.0,False,new application,California
71.0,False,new application,California
74.0,False,new application,California
302.0,False,new application,Vermont
46.0,False,new application,Nebraska
73.0,False,renewal,Phoenix
68.0,False,new application,California
194.0,False,new application,Vermont
